Batch,User,Source,StartDate,EndDate,Actual Samples,Expected Samples,Final Missing %
Batch1,cmp1_usr541,Light,2024.11.2 15:50,2025.1.4 23:18,15169,18234,16.81
Batch1,cmp1_usr541,Connectivity,2024.11.2 15:50,2025.1.4 23:18,15169,18234,16.81
Batch1,cmp1_usr541,Battery,2024.11.2 15:50,2025.1.4 23:18,15169,18234,16.81
Batch1,cmp1_usr541,Permission,2024.11.2 19:35,2025.1.6 13:21,215,259,16.99
Batch1,cmp1_usr542,Light,,,0,16128,100
Batch1,cmp1_usr542,Connectivity,,,0,16128,100
Batch1,cmp1_usr542,Battery,,,0,16128,100
Batch1,cmp1_usr542,Permission,,,0,224,100
Batch1,cmp1_usr545,Light,2024.11.11 21:09,2024.12.22 9:31,10394,16128,35.55
Batch1,cmp1_usr545,Connectivity,2024.11.11 21:09,2024.12.22 9:31,10394,16128,35.55
Batch1,cmp1_usr545,Battery,2024.11.11 21:09,2024.12.22 9:31,10394,16128,35.55
Batch1,cmp1_usr545,Permission,2024.11.11 21:04,2024.12.22 7:01,149,224,33.48
Batch1,cmp1_usr546,Light,2024.11.2 18:21,2025.2.17 8:04,29832,30693,2.81
Batch1,cmp1_usr546,Connectivity,2024.11.2 18:21,2025.2.17 8:04,29832,30693,2.81
Batch1,cmp1_usr546,Battery,2024.11.2 18:21,2025.2.17 8:04,29832,30693,2.81
Batch1,cmp1_usr546,Permission,2024.11.2 18:56,2025.2.17 7:14,417,427,2.34
Batch1,cmp1_usr547,Light,2024.10.23 8:12,2025.1.9 16:31,20007,22564,11.33
Batch1,cmp1_usr547,Connectivity,2024.10.23 8:12,2025.1.9 16:31,20007,22564,11.33
Batch1,cmp1_usr547,Battery,2024.10.23 8:12,2025.1.9 16:31,20007,22564,11.33
Batch1,cmp1_usr547,Permission,2024.10.23 8:07,2025.1.9 14:51,290,314,7.64
Batch1,cmp1_usr559,Light,2024.11.6 12:37,2024.12.22 20:53,12668,16128,21.45
Batch1,cmp1_usr559,Connectivity,2024.11.6 12:37,2024.12.22 20:53,12668,16128,21.45
Batch1,cmp1_usr559,Battery,2024.11.6 12:37,2024.12.22 20:53,12668,16128,21.45
Batch1,cmp1_usr559,Permission,2024.11.6 18:12,2024.12.22 15:53,177,224,20.98
Batch1,cmp1_usr571,Light,2024.10.27 14:17,2025.3.10 13:47,28685,38587,25.66
Batch1,cmp1_usr571,Connectivity,2024.10.27 14:17,2025.3.10 13:47,28685,38587,25.66
Batch1,cmp1_usr571,Battery,2024.10.27 14:17,2025.3.10 13:47,28685,38587,25.66
Batch1,cmp1_usr571,Permission,2024.10.27 18:57,2025.3.10 12:57,403,536,24.81
Batch1,cmp1_usr581,Light,2024.10.30 18:02,2025.1.20 6:55,23391,23483,0.39
Batch1,cmp1_usr581,Connectivity,2024.10.30 18:02,2025.1.20 6:55,23391,23483,0.39
Batch1,cmp1_usr581,Battery,2024.10.30 18:02,2025.1.20 6:55,23391,23483,0.39
Batch1,cmp1_usr581,Permission,2024.10.30 22:22,2025.1.20 3:10,325,325,0
Batch1,cmp1_usr582,Light,2024.11.4 19:35,2025.1.16 10:49,14915,20919,28.7
Batch1,cmp1_usr582,Connectivity,2024.11.4 19:35,2025.1.16 10:49,14915,20919,28.7
Batch1,cmp1_usr582,Battery,2024.11.4 19:35,2025.1.16 10:49,14915,20919,28.7
Batch1,cmp1_usr582,Permission,2024.11.11 16:40,2025.1.16 5:44,208,263,20.91
Batch1,cmp1_usr583,Light,2024.11.2 8:08,2024.12.22 9:32,13679,16128,15.18
Batch1,cmp1_usr583,Connectivity,2024.11.2 8:08,2024.12.22 9:32,13679,16128,15.18
Batch1,cmp1_usr583,Battery,2024.11.2 8:08,2024.12.22 9:32,13679,16128,15.18
Batch1,cmp1_usr583,Permission,2024.11.2 9:08,2024.12.22 4:42,193,224,13.84
Batch1,cmp1_usr584,Light,,,0,16128,100
